Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
42046112,Recursion,Blake Crouch,"Crouch, Blake",,"=""1524759783""","=""9781524759780""",4,4.16,Crown Publishing Group (NY),Hardcover,336,2019,2019,2019/12/17,2019/12/10,"2019, fiction","2019 (#163), fiction (#95)",read,,,,1,0
41551818,Dyslexia: A Very Short Introduction,Margaret J. Snowling,"Snowling, Margaret J.",,"=""0198818300""","=""9780198818304""",3,3.27,"Oxford University Press, USA",Paperback,168,2019,,2019/12/15,2019/12/12,"science-history, 2019, non-fiction","science-history (#165), 2019 (#162), non-fiction (#290)",read,,,,2,0
20821371,The Sense of Style: The Thinking Person's Guide to Writing in the 21st Century,Steven Pinker,"Pinker, Steven",,"=""0670025852""","=""9780670025855""",3,4.05,Viking,Hardcover,368,2014,2014,2019/12/12,2019/12/10,"2019, non-fiction, philosophy-theology","2019 (#161), non-fiction (#289), philosophy-theology (#144)",read,,,,1,0
188378,The Anatomy of Fascism,Robert O. Paxton,"Paxton, Robert O.",,"=""""","=""""",3,4.19,Vintage,Paperback,336,2005,2004,2019/12/06,2019/12/01,"2019, non-fiction, science-history","2019 (#159), non-fiction (#288), science-history (#164)",read,,,,1,0
18045026,True Grit,Bear Grylls,"Grylls, Bear",,"=""1448127246""","=""9781448127245""",3,4.07,Transworld Digital,ebook,,2013,2013,2019/12/05,2019/12/05,"2019, biography-memoarer, non-fiction, science-history","2019 (#158), biography-memoarer (#46), non-fiction (#287), science-history (#163)",read,,,,1,0
254502,The Meme Machine,Susan Blackmore,"Blackmore, Susan",Richard Dawkins,"=""019286212X""","=""9780192862129""",5,3.85,Oxford University Press,Paperback,288,2000,1999,2019/12/04,2019/12/03,"2019, non-fiction, philosophy-theology","2019 (#157), non-fiction (#286), philosophy-theology (#143)",read,,,,1,0
10368832,The Tell-Tale Brain: A Neuroscientist's Quest for What Makes Us Human,V.S. Ramachandran,"Ramachandran, V.S.",,"=""""","=""""",0,4.15,W. W. Norton & Company,Kindle Edition,421,2011,2011,,2019/12/04,to-read,to-read (#23),to-read,,,,0,0
11212156,"Laws, Mind, and Free Will",Steven Horst,"Horst, Steven",,"=""0262015250""","=""9780262015257""",0,5.00,Bradford Book,Hardcover,277,2011,2011,,2019/12/04,to-read,to-read (#22),to-read,,,,0,0
19557088,Persons and Causes: The Metaphysics of Free Will,Timothy O'Connor,"O'Connor, Timothy",,"=""""","=""""",0,3.71,"Oxford University Press, USA",Kindle Edition,160,2002,1999,,2019/12/04,to-read,to-read (#21),to-read,,,,0,0
6829006,Physics and Philosophy: The Revolution in Modern Science (World Perspectives #19),Werner Heisenberg,"Heisenberg, Werner",Ruth Nanda Anshen,"=""""","=""""",0,4.03,Harper & Brothers,Hardcover,206,1958,1958,,2019/12/04,to-read,to-read (#20),to-read,,,,0,0
